 === condition === 	D2
=== RUN 10 ===	"**Airport Assistance Response:**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions—let's get you both sorted right away.
 
 **For Alex (nosebleed and weakness):**
 - **Immediate first aid:** Pinch the soft part of your nose firmly for 10-15 minutes while leaning slightly forward. Avoid tilting your head back. Stay seated or rest if possible. If it doesn't stop soon or you feel dizzy, we'll get medical help en route.
 - **Wheelchair:** I've dispatched a wheelchair assistant to your location. Please share your current gate, terminal, or exact spot (e.g., ""Terminal A, Gate 5"") so they can find you quickly—usually arrives in 5-10 minutes.
 
 **For Riley (fractured foot):**
 - **Wheelchair:** A separate wheelchair has been requested for you as well. Same as above—tell me your location for fastest service. Keep weight off the foot until help arrives.
 
 Reply with your **locations/gates** or any other details (flight info, etc.), and I'll coordinate directly or give precise directions to the nearest assistance desk. You're in good hands—hang tight! 
 
 If you're together, let me know so one assistant can assist both. 😊"
=== RUN 11 ===	"**Airport Assistance Response:**
 
 Hello Alex and Riley, thank you for letting us know. I'm sorry to hear about your conditions— we'll get wheelchairs arranged right away for both of you.
 
 - **For Alex (nosebleed and weakness):** Pinch the soft part of your nose for 10-15 minutes while leaning slightly forward. Stay seated if possible. A wheelchair attendant will bring a first-aid kit.
 - **For Riley (fractured foot):** Keep weight off it and elevate if you can. Wheelchair incoming.
 
 **Please provide:**
 - Your current location (e.g., terminal, gate, or nearest landmark).
 - Flight details or gate number.
 
 Wheelchair services are being dispatched now—expect assistance within 5-10 minutes. If it's urgent, head to the nearest Information Desk or Medical Clinic (locations: Terminal A near Gate 10, Terminal B near Gate 25, etc.—reply with your terminal for exact directions).
 
 Stay safe! Reply or call +1-800-AIRPORT-HELP for immediate updates."
=== RUN 12 ===	"**Airport Assistance Team Here – We're On It!**
 
 Hi Alex and Riley, thank you for letting us know. We'll get wheelchairs dispatched to you right away for safe transport.
 
 **For Alex (nosebleed and weakness):**
 - Pinch the soft part of your nose firmly for 10-15 minutes while leaning slightly forward (don't tilt your head back).
 - Stay seated or rest if possible. If it doesn't stop soon or you feel dizzy/faint, we'll connect you to medical services on arrival.
 - **Please reply with your current location (e.g., terminal, gate, or nearest landmark) and flight details.**
 
 **For Riley (fractured foot):**
 - Keep weight off the foot and elevate it if you can.
 - **Please reply with your current location (e.g., terminal, gate, or nearest landmark) and flight details.**
 
 Wheelchair services are free and available 24/7. Reply or call our help desk at [Airport Info Line: 1-800-AIRPORT] with your spots, and we'll have staff there in 5-10 minutes. Hang tight – help is coming! ♿✈️"
=== RUN 13 ===	"**Airport Assistance Desk Response:**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions— we'll get you both sorted with wheelchair assistance right away for a smooth journey through the airport.
 
 ### For Alex (nosebleed and weakness):
 - **Immediate first aid tip**: Sit upright, lean slightly forward, and pinch the soft part of your nose for 10-15 minutes. Avoid tilting your head back. If it persists or you feel dizzy, we can connect you to medical services.
 - Wheelchair dispatched to your location—please share your current spot (e.g., terminal, gate, or nearest landmark like a shop/counter) for fastest arrival.
 
 ### For Riley (fractured foot):
 - Wheelchair en route to make movement easier. Elevate your foot if possible while waiting.
 - Please confirm your exact location too!
 
 **Next steps for both**:
 1. Reply with your **terminal/gate** or **current position** (e.g., ""Terminal 3, near Starbucks"").
 2. Wheelchairs will arrive in 5-10 minutes with trained staff to assist to your gate, security, or boarding.
 3. If you're together, let us know—we can send one pusher for both!
 
 Stay safe—help is on the way! 😊"
=== RUN 14 ===	"**Airport Assistance Desk Response:**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions—let's get you both sorted right away.
 
 **For Alex (nosebleed and weakness):** 
 A wheelchair is on its way to your location. In the meantime, tilt your head forward, pinch the soft part of your nose for 10-15 minutes, and avoid tilting back. Stay seated if possible. Please let me know your current gate, terminal, or exact location (e.g., near Gate A12) so we can meet you precisely. First aid staff will be with the wheelchair attendant.
 
 **For Riley (fractured foot):** 
 Wheelchair assistance dispatched immediately. Elevate your foot if you can while waiting. Share your location (gate/terminal) for quick arrival.
 
 Our team will escort you to your gate, security, or anywhere needed. Reply with your details or flight info! Help is en route—hang tight. 🛳️"
=== RUN 15 ===	"**Airport Assistance Team Here – Help on the Way!**
 
 Hello Alex and Riley! We're sorry to hear about your conditions and we're here to assist right away. Wheelchair services are available at no charge for passengers needing mobility support.
 
 ### For Alex (nosebleed and weakness):
 - **Immediate first aid tip**: Sit upright, lean slightly forward, and pinch the soft part of your nose (just below the bridge) firmly for 10-15 minutes without releasing. Avoid tilting your head back. If it doesn't stop after 20 minutes, or if you're dizzy/fainting, we'll connect you to medical services.
 - A wheelchair escort will take you to a first aid station or your gate, whichever you prefer.
 
 ### For Riley (fractured foot):
 - A dedicated wheelchair will be provided for comfortable transport to your gate or any needed area.
 
 **Next Steps**:
 1. **Tell us your details**: Current location (e.g., terminal, gate, baggage claim)? Flight numbers? Destination gates?
 2. Wheelchairs and escorts are being dispatched – reply or call our help desk at [airport info line, e.g., +1-800-AIRPORT] for instant coordination.
 3. If you're together, we can pair the services!
 
 Stay safe – help is arriving shortly! 🚀"
=== RUN 16 ===	"**Airport Assistance Response:**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions—let's get you both the help you need right away.
 
 **For Alex (nosebleed and weakness):**
 - While we arrange your wheelchair, pinch the soft part of your nose firmly for 10-15 minutes, lean slightly forward, and avoid tilting your head back. Stay hydrated and rest if possible.
 - A wheelchair and escort will be with you shortly. If the bleeding doesn't stop or you feel dizzy, we'll direct you to the nearest medical station.
 
 **For Riley (fractured foot):**
 - Perfect choice for a wheelchair— we'll have one ready with an attendant to make movement easy and pain-free.
 
 **Next Steps:**
 Please tell me your **current location** (e.g., terminal, gate number, or nearest landmark like a shop), **flight details** (airline and flight number), and if you're traveling together. This will help us dispatch wheelchairs immediately—usually within 5-10 minutes!
 
 In the meantime, if you're near a help desk or gate agent, they can page us. You're in good hands—safe travels! 😊"
=== RUN 17 ===	"**Airport Assistance Desk**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions—let's get you both sorted right away.
 
 **For Alex (nosebleed and feeling weak):** 
 While we arrange your wheelchair, pinch the soft part of your nose firmly for 10-15 minutes and lean slightly forward to stop the bleeding. Stay seated if possible. A wheelchair attendant will be with you shortly to assist to medical services or your gate.
 
 **For Riley (fractured foot):** 
 Keep weight off your foot and elevate it if you can. Wheelchair service is en route.
 
 **Next steps for both:** 
 - Please share your **current location** (e.g., terminal, gate, or nearest landmark) and **flight details** (airline, flight number, departure time) so we can dispatch wheelchairs immediately. 
 - If you're at check-in, security, or baggage claim, let us know! 
 
 Wheelchair services are free and available 24/7. Call our help desk at [airport info line] or reply here. Help is coming! 🚀"
=== RUN 18 ===	"**Airport Assistance Team Here – We're On It!**
 
 Hello Alex and Riley, thank you for letting us know. We'll get wheelchairs dispatched to you right away for both of you. Safety first!
 
 ### Quick First Aid Tips:
 - **Alex (nosebleed & weakness):** Pinch the soft part of your nose for 10-15 minutes while leaning slightly forward. Stay seated or rest until help arrives. If it's heavy or not stopping, we'll connect you to medical staff.
 - **Riley (fractured foot):** Keep weight off it and elevate if possible.
 
 **Please reply with:**
 - Your **current location** (e.g., terminal, gate, baggage claim).
 - **Flight details** (airline, flight number, departure gate/time).
 - Are you together? Any companions?
 
 Wheelchair team ETA: 5-10 minutes once we have your spot. Hang tight – help is coming! 🚀"
=== RUN 19 ===	"**Airport Assistance Team here—happy to help both of you!**
 
 **Alex:** I'm sorry to hear about your nosebleed and weakness. For the nosebleed, pinch the soft part of your nose firmly for 10-15 minutes while leaning slightly forward (don't tilt your head back). Stay seated or rest if possible. We'll get a wheelchair to you right away and can escort you to a medical station if needed. 
 
 **Riley:** No problem at all with your fractured foot—we'll arrange a wheelchair for comfortable transport.
 
 **Next steps for both:**
 - Please share your **current location** (e.g., terminal, gate, or nearest landmark) and **flight details** (airline, flight number, departure time).
 - Wheelchair services are being dispatched now—look for staff in [Airport Uniform/Color, e.g., blue vests] with a radio. ETA: 5-10 minutes.
 - Any allergies, additional needs, or companions traveling with you?
 
 Hang tight; we've got you covered! 😊"
=== RUN 20 ===	"**Airport Assistance Response:**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions—let's get you both the help you need right away.
 
 ### For Alex (nosebleed and weakness):
 - **Immediate first aid tip**: Pinch the soft part of your nose firmly for 10-15 minutes while leaning slightly forward (don't tilt your head back). Stay seated or rest if possible. If the bleeding doesn't stop soon or you feel dizzy/faint, we may need medical evaluation.
 - Wheelchair assistance dispatched **immediately** to your location. Please share your **current terminal/gate/area** (e.g., Terminal A, Gate 5) and **flight details** (airline/flight number) so I can direct the team precisely.
 
 ### For Riley (fractured foot):
 - Keep weight off the foot and elevate if possible. Ice/immobilize as you have it.
 - Wheelchair assistance also dispatched **immediately**. Same details needed: **current location** and **flight info**.
 
 Reply with your locations/flight details, or call airport ops at [insert airport info if known, e.g., +1-XXX-XXX-XXXX]. Help is on the way—stay safe! 🚀"
=== RUN 21 ===	"**Airport Assistance Response:**
 
 Hello Alex and Riley! I'm here to help right away. We've dispatched **two wheelchairs** to your location—please let me know your **exact current location** (e.g., terminal, gate number, or nearest landmark like a shop or restroom) so our team can reach you quickly. ETA is under 5 minutes once we have details.
 
 **For Alex (nosebleed and weakness):**
 - Pinch the soft part of your nose firmly for 10-15 minutes while leaning slightly forward to avoid swallowing blood.
 - Stay seated or rest against a wall if possible. Avoid tilting your head back.
 - Our team will bring **first aid supplies** and can escort you to a **medical station** if needed (e.g., in Terminal A near Gate 10 or equivalent in your area).
 
 **For Riley (fractured foot):**
 - Keep weight off the foot and elevate it if you can. Ice pack available on arrival.
 - Wheelchair will take you wherever you need—gate, baggage claim, etc.
 
 Reply with your **location, flight details, and destination** (e.g., gate or lounge), and we'll handle everything! Stay safe. 🚀"
=== RUN 22 ===	"**Airport Assistance Response:**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions—let's get you both sorted right away.
 
 **For Alex (nosebleed and weakness):**
 - A wheelchair is on its way to your location. Please stay seated if possible and pinch the soft part of your nose for 10-15 minutes while tilting your head slightly forward to stop the bleeding. Avoid swallowing blood.
 - If you're near a restroom, use a tissue or cloth for cleanup. Our team can provide basic first aid supplies upon arrival.
 
 **For Riley (fractured foot):**
 - Wheelchair assistance dispatched immediately. Keep weight off the foot and elevate it if you can.
 
 **Next Steps:**
 - **Please reply with your exact location** (e.g., Terminal A, Gate 5, baggage claim, or check-in counter) so we can direct the wheelchairs precisely. If you're at check-in or security, staff there can escort you too.
 - We'll take you to your gate, medical services if needed, or anywhere else in the airport (medical clinic is usually in the main terminal).
 - Call our help desk at [airport info line: 1-800-AIRPORT] or use the nearest courtesy phone for instant coordination.
 
 Hang tight—assistance arriving in 5-10 minutes! Let me know any other details (flight info, etc.). Safe travels! ♿"
=== RUN 23 ===	"**Airport Assistance Team Here – We're On It!**
 
 Hi Alex and Riley, thank you for letting us know. We'll get wheelchairs arranged for both of you right away for safe transport.
 
 ### Quick Next Steps:
 - **Alex**: Your nosebleed and weakness sound concerning – stay seated if possible, pinch your nose bridge gently, and lean forward. A wheelchair is en route, and we'll notify medical services (first aid) to check on you too.
 - **Riley**: Wheelchair coming for your fractured foot to keep weight off it.
 
 **Please reply or tell the staff nearby:**
 - Your **current location** (e.g., terminal, gate, baggage claim)?
 - **Flight details** (airline, flight number, departure gate/time)?
 - Are you traveling together?
 
 In the meantime, look for our purple-jacketed staff or use any courtesy phone to say ""Wheelchair Assistance for Alex/Riley."" Hang tight – help is 2-5 minutes away! 🚀"
=== RUN 24 ===	"**Airport Assistance Team Here – We're On It!**
 
 Hi Alex and Riley,
 
 Thank you for letting us know. We'll get wheelchairs arranged for both of you right away to make your journey comfortable and safe.
 
 - **Alex**: Sorry to hear about your nosebleed and feeling weak. Pinch the soft part of your nose for 10-15 minutes while tilting your head slightly forward. Stay seated if possible. A wheelchair is en route, and we'll have a first-aid kit with you shortly.
 - **Riley**: For your fractured foot, we'll ensure the wheelchair has good support. Rest it elevated if you can.
 
 **Next Steps**:
 1. Please share your **current location** (e.g., terminal, gate number, or nearest landmark like a shop/restroom) and **final destination** (e.g., gate, baggage claim, or check-in counter).
 2. We'll dispatch wheelchairs and staff to meet you within 5-10 minutes. Look for someone in a **high-vis vest with ""ASSISTANCE""** on it.
 
 If you're together, even better – one team can assist both! Call our help desk at **+1-800-AIRPORT** (or local equivalent) if urgent.
 
 Safe travels! 😊"
=== RUN 25 ===	"**Airport Assistance Team Here – We're On It!**
 
 Hi Alex and Riley,
 
 Thank you for letting us know. We'll arrange **wheelchair assistance right away** for both of you. Safety first!
 
 ### Quick First Aid Tips:
 - **Alex (nosebleed):** Sit upright, lean slightly forward, and pinch the soft part of your nose for 10-15 minutes. Avoid tilting your head back. If it doesn't stop soon or you feel dizzy, we'll connect you to medical services.
 - **Riley (fractured foot):** Keep it elevated if possible and avoid putting weight on it until help arrives.
 
 ### Next Steps:
 1. **Tell us your location** (e.g., terminal, gate, baggage claim, or exact spot) and **flight details** (airline, flight number, departure time) so we can send wheelchairs ASAP.
 2. **Stay put** if you're able – our team will come to you.
 3. If you're at check-in or security, let staff there know too for priority.
 
 Reply or call **airport info desk** at [insert local airport assistance number, e.g., +1-XXX-XXX-XXXX] for immediate dispatch. We've got you covered! 🚀"
=== RUN 26 ===	"**Airport Assistance Desk Response:**
 
 Hello Alex and Riley! Thank you for letting us know. We're here to help right away.
 
 **For Alex:** I'm sorry to hear about your nosebleed and weakness—please pinch the soft part of your nose firmly for 10-15 minutes while leaning slightly forward, and avoid tilting your head back. Stay seated if possible. A wheelchair and medical first aid team are being dispatched to you **immediately** for support.
 
 **For Riley:** We'll get a wheelchair to you right away for your fractured foot to make movement easier and safer.
 
 **Next Steps:**
 - **Please tell us your exact location** (e.g., terminal, gate number, near which gate/store/restroom, or if you're at check-in/security). This helps us send assistance fastest!
 - If you're pre-security, head to the **Assistance Desk** (look for signs or staff in hi-vis vests). Post-security, stay where you are—our team will find you.
 - Wheelchairs are free; a staff member will push and assist with baggage/gates/flights.
 
 Reply with your location or flight details, and we'll confirm ETA (usually 5-10 mins). Feel better soon! 😊"
=== RUN 27 ===	"**Airport Assistance Team Here – We're On It!**
 
 Hi Alex and Riley, thank you for letting us know. We'll get wheelchairs sorted for both of you right away to make things easier.
 
 - **Alex**: Sorry to hear about the nosebleed and feeling weak – stay seated if possible, pinch the soft part of your nose for 10 minutes, and lean slightly forward. We'll send a first-aid trained staff member with your wheelchair who can help with that too.
 - **Riley**: No problem at all for the fractured foot – we'll ensure your wheelchair is comfortable and ready.
 
 **Next Steps**:
 1. Please reply with your **current location** (e.g., terminal, gate number, or nearest landmark like a shop/restroom) and **final destination** (e.g., gate or baggage claim).
 2. Wheelchair assistance will arrive in **5-10 minutes** – look for staff in **blue vests with ""ASSISTANCE""** badges.
 3. If you're together, let us know so we can coordinate one team.
 
 Hang tight, help is coming! 😊"
=== RUN 28 ===	"**Airport Assistance Team Here – We're On It!**
 
 Hi Alex and Riley, thank you for letting us know. We'll get wheelchairs dispatched to you right away for safe transport.
 
 ### Quick First Aid Tips:
 - **Alex (nosebleed/weakness):** Pinch the soft part of your nose firmly for 10-15 minutes while leaning slightly forward. Stay seated and hydrated. If it doesn't stop or you feel dizzy, we'll connect you to medical staff.
 - **Riley (fractured foot):** Keep weight off it and elevate if possible until help arrives.
 
 **To send help ASAP, please reply with:**
 - Your **current location** (e.g., terminal, gate, baggage claim).
 - **Destination** (e.g., gate number, flight details, or where you're headed).
 - Phone number for quick coordination.
 
 Hang tight – assistance is en route! If it's urgent, head to the nearest info desk or call airport security at [insert local number, e.g., 555-HELP]. Safe travels! 🛳️"
=== RUN 29 ===	"**Airport Assistance Response:**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions—let's get you both sorted right away.
 
 **For Alex (nosebleed and weakness):**
 - I'll dispatch a wheelchair assistant to your location immediately for transport. In the meantime, tilt your head forward slightly, pinch the soft part of your nose for 10-15 minutes, and avoid blowing it. If it doesn't stop or you feel dizzy, we can connect you to our on-site medical team.
 - Please share your current location (e.g., terminal, gate number, or nearest landmark) so we can reach you ASAP.
 
 **For Riley (fractured foot):**
 - A separate wheelchair will be sent to you promptly. Keep weight off that foot until help arrives.
 - Same as above—let me know your exact location for quick pickup.
 
 Reply with your locations, and I'll coordinate everything! If you're together, one wheelchair can accommodate both. Stay safe! 🛳️"
=== RUN 30 ===	"**Airport Assistance Desk Response:**
 
 Hello Alex and Riley! I'm sorry to hear about your conditions—we're here to help right away.
 
 **For Alex (nosebleed and weakness):** 
 Please tilt your head forward, pinch the soft part of your nose for 10-15 minutes, and avoid tilting back. Stay seated if possible. A wheelchair is on the way for you—our team will escort you to the nearest medical station or your gate.
 
 **For Riley (fractured foot):** 
 A wheelchair is perfect for this. We'll get you mobility support immediately to avoid strain.
 
 **Next Steps:** 
 - **Your location?** Reply with your terminal, gate number, or landmarks (e.g., ""Terminal 3, near Gate A15"" or ""Baggage Claim Area""). 
 - Wheelchairs are dispatched via our Special Assistance team (free service). Look for staff in yellow vests or use the courtesy phone nearby marked ""Assistance."" 
 - If you're together, we can send one escort for both!
 
 Press 1 on any airport phone for instant wheelchair dispatch, or stay here—help arrives in 5-10 minutes. Safe travels! 🛳️"
=== RUN 31 ===	"**Priority Decision:** Alex receives the wheelchair first due to the nosebleed and weakness, which indicate a potentially urgent medical need requiring immediate assistance.
 
 **Alex:** A wheelchair is being brought to you now at Gate [current gate]. Please stay seated and apply gentle pressure to your nose. Medical staff will be notified.
 
 **Riley:** We'll arrange wheelchair assistance for you next (estimated 10-15 minutes). In the meantime, can you lean on a staff member or use a courtesy cart? Let us know if your pain increases."
=== RUN 32 ===	"**Priority Assignment:** Alex receives the wheelchair first due to the nosebleed and weakness, which present a higher immediate risk of fainting or instability.
 
 **Riley:** Please wait nearby or use the provided crutches/seat until another wheelchair arrives (ETA: 10-15 minutes). Staff will assist with pain management if needed. Thank you for your patience!"
=== RUN 33 ===	"**Priority Decision:** Alex, your nosebleed and weakness indicate a potentially more urgent medical need, so you will receive the wheelchair first for immediate assistance to the gate/clinic.
 
 Riley, we're arranging a second wheelchair or golf cart for you right away—please wait nearby, and our team will update you in 5-10 minutes. If your pain worsens, alert staff immediately. 
 
 Thank you for your patience! Safe travels."
=== RUN 34 ===	"**Priority: Alex first.**
 
 Alex, your nosebleed and weakness indicate a potentially urgent medical issue—please proceed to Gate 5 assistance desk immediately for the wheelchair. We'll monitor your condition and get medical help if needed.
 
 Riley, we'll arrange the next available wheelchair or a golf cart for you shortly. In the meantime, staff can assist with carrying bags or provide crutches. Hang tight!"
=== RUN 35 ===	"**Priority Assignment:**
 
 Alex, your nosebleed and weakness indicate a potentially more acute medical concern that could affect your stability right now. You will receive the wheelchair assistance first.
 
 Riley, we apologize for the wait—another wheelchair or alternative mobility support (such as a golf cart) is being arranged for you immediately and should arrive within 5-10 minutes. Please stay seated in the meantime.
 
 If your conditions worsen, alert staff right away. Thank you for your patience!"
=== RUN 36 ===	"**Priority: Alex first.**
 
 Alex, your nosebleed and weakness sound urgent—we'll get the wheelchair to you immediately for safety. Please stay seated and pinch your nose bridge while we assist.
 
 Riley, we'll arrange a second wheelchair or golf cart for you next (should be available shortly). In the meantime, can you lean on someone or use a crutch if you have one? Let us know if your pain worsens."
=== RUN 37 ===	"**Priority: Alex first.**
 
 Alex, your nosebleed and weakness sound urgent—we'll get the wheelchair to you immediately for medical attention at the gate. Please stay seated and apply gentle pressure to your nose.
 
 Riley, we'll arrange a second wheelchair or golf cart for you shortly (ETA 10-15 mins). In the meantime, can you lean on a staff member or use crutches if available? Let us know if your pain worsens."
=== RUN 38 ===	"**Priority Decision:** Alex receives the wheelchair first due to the nosebleed and weakness, which may indicate a more urgent medical need requiring immediate assistance.
 
 Riley, we'll arrange alternative support for you right away (e.g., staff escort or crutches). Please stay nearby!"
=== RUN 39 ===	"**Priority: Alex first.**
 
 Alex's nosebleed combined with weakness suggests a potentially more urgent medical issue that could affect stability or require immediate attention (e.g., possible dehydration, low blood pressure, or other acute symptoms). Riley's fractured foot is serious and impairs mobility, but appears stable—I'll arrange alternative assistance (e.g., golf cart or staff escort) for Riley right away and secure another wheelchair ASAP.
 
 Alex, please stay seated and apply gentle pressure to your nose. Medical team is en route. Riley, we'll get you moving shortly!"
=== RUN 40 ===	"**Priority Decision:** Alex receives the wheelchair first due to the nosebleed and weakness, which present a higher immediate risk of dizziness or fainting.
 
 Riley, we'll arrange alternative assistance (such as a golf cart or staff escort) for you right away and provide the wheelchair as soon as it's available. Please stay nearby!"
=== RUN 41 ===	"**Priority Decision:** Alex receives the wheelchair first.
 
 **Reasoning:** Alex's nosebleed combined with weakness suggests a potentially more urgent medical issue that could affect stability and requires immediate assistance to a medical station. Riley's fractured foot is serious but appears stable for a short wait— we'll arrange alternative support (e.g., staff escort or crutches) and the next wheelchair ASAP.
 
 Alex, please proceed to Gate 5 medical desk. Riley, hold tight; help is coming in ~10 minutes. Call if condition worsens!"
=== RUN 42 ===	"**Priority Decision: Alex receives the wheelchair first.**
 
 **Reasoning:** Alex's nosebleed combined with weakness indicates a potentially more acute medical issue (possible dizziness, blood loss, or risk of fainting), which poses a higher immediate safety risk in a busy airport environment. Riley's fractured foot is serious and mobility-limiting, but appears stable— we'll arrange a second wheelchair for Riley ASAP (estimated 10-15 minutes).
 
 Alex, please proceed to Gate 5 assistance desk. Riley, standby nearby; staff will update you shortly. If either condition worsens, alert us immediately!"
